region,region_name,forest,forest_name,district,district_name,state
4,Intermountain Region,13,Salmon-Challis NF,5,Salmon RD,ID
4,Intermountain Region,13,Salmon-Challis NF,6,Middle Fork RD,ID
4,Intermountain Region,13,Salmon-Challis NF,7,North Fork RD,ID
4,Intermountain Region,13,Salmon-Challis NF,8,Leadore RD,ID
4,Intermountain Region,14,Sawtooth NF,0,Supervisor’s Office,ID
4,Intermountain Region,14,Sawtooth NF,1,Minidoka RD,ID
4,Intermountain Region,14,Sawtooth NF,1,Minidoka RD,UT
4,Intermountain Region,14,Sawtooth NF,2,Minidoka RD,ID
4,Intermountain Region,14,Sawtooth NF,3,Ketchum RD,ID
4,Intermountain Region,14,Sawtooth NF,4,Sawtooth NRA,ID
4,Intermountain Region,14,Sawtooth NF,5,Fairfield RD,ID
4,Intermountain Region,15,Caribou-Targhee NF,0,Supervisor’s Office,ID
4,Intermountain Region,15,Caribou-Targhee NF,1,Dubois RD (Legacy),ID
4,Intermountain Region,15,Caribou-Targhee NF,2,Island Park RD (Legacy),ID
